time,bid,ask,last,volume,time_msc,flags,volume_real
1740645966,0.6298,0.62989,0.0,0,1740645966282,134,0.0
1740645975,0.62981,0.6299,0.0,0,1740645975351,134,0.0
1740645976,0.62982,0.62991,0.0,0,1740645976384,134,0.0
1740645976,0.62981,0.6299,0.0,0,1740645976495,134,0.0
1740645977,0.6298,0.62989,0.0,0,1740645977614,134,0.0
1740645977,0.62979,0.62988,0.0,0,1740645977854,134,0.0
1740645978,0.62978,0.62987,0.0,0,1740645978855,134,0.0
1740645982,0.62977,0.62986,0.0,0,1740645982172,134,0.0
1740645984,0.62976,0.62985,0.0,0,1740645984783,134,0.0
1740645989,0.62978,0.62987,0.0,0,1740645989255,134,0.0
1740645990,0.62976,0.62985,0.0,0,1740645990538,134,0.0
1740645994,0.62975,0.62984,0.0,0,1740645994950,134,0.0
1740645996,0.62974,0.62983,0.0,0,1740645996084,134,0.0
1740645998,0.62975,0.62984,0.0,0,1740645998481,134,0.0
1740645999,0.62973,0.62982,0.0,0,1740645999279,134,0.0
1740645999,0.62972,0.62981,0.0,0,1740645999343,134,0.0
1740645999,0.6297,0.62979,0.0,0,1740645999385,134,0.0
1740646000,0.62971,0.6298,0.0,0,1740646000977,134,0.0
1740646002,0.62972,0.62981,0.0,0,1740646002129,134,0.0
1740646003,0.62971,0.6298,0.0,0,1740646003403,134,0.0
1740646003,0.62972,0.62981,0.0,0,1740646003611,134,0.0
1740646004,0.62973,0.62982,0.0,0,1740646004953,134,0.0
1740646007,0.62974,0.62983,0.0,0,1740646007958,134,0.0
1740646007,0.62976,0.62985,0.0,0,1740646007973,134,0.0
1740646007,0.62977,0.62986,0.0,0,1740646007988,134,0.0
1740646009,0.62976,0.62985,0.0,0,1740646009035,134,0.0
1740646011,0.62977,0.62986,0.0,0,1740646011116,134,0.0
1740646012,0.62979,0.62988,0.0,0,1740646012779,134,0.0
1740646015,0.62978,0.62987,0.0,0,1740646015110,134,0.0
1740646015,0.62977,0.62986,0.0,0,1740646015758,134,0.0
1740646016,0.62978,0.62987,0.0,0,1740646016790,134,0.0
1740646018,0.62977,0.62986,0.0,0,1740646018180,134,0.0
1740646020,0.62977,0.62986,0.0,0,1740646020484,130,0.0
1740646022,0.62978,0.62987,0.0,0,1740646022410,134,0.0
1740646037,0.62976,0.62985,0.0,0,1740646037157,134,0.0
1740646040,0.62977,0.62986,0.0,0,1740646040179,134,0.0
1740646040,0.62978,0.62987,0.0,0,1740646040199,134,0.0
1740646040,0.6298,0.62989,0.0,0,1740646040224,134,0.0
1740646040,0.62981,0.6299,0.0,0,1740646040282,134,0.0
1740646041,0.6298,0.62989,0.0,0,1740646041046,134,0.0
1740646041,0.62982,0.62991,0.0,0,1740646041403,134,0.0
1740646042,0.62984,0.62993,0.0,0,1740646042968,134,0.0
1740646044,0.62985,0.62994,0.0,0,1740646044120,134,0.0
1740646046,0.62986,0.62995,0.0,0,1740646046217,134,0.0
1740646047,0.62984,0.62993,0.0,0,1740646047643,134,0.0
1740646047,0.62983,0.62992,0.0,0,1740646047842,134,0.0
1740646049,0.62984,0.62993,0.0,0,1740646049640,134,0.0
1740646050,0.62985,0.62994,0.0,0,1740646050874,134,0.0
1740646053,0.62983,0.62992,0.0,0,1740646053206,134,0.0
1740646054,0.62984,0.62993,0.0,0,1740646054305,134,0.0
1740646054,0.62982,0.62991,0.0,0,1740646054861,134,0.0
1740646055,0.62981,0.6299,0.0,0,1740646055035,134,0.0
1740646057,0.62982,0.62991,0.0,0,1740646057657,134,0.0
1740646068,0.62981,0.6299,0.0,0,1740646068481,134,0.0
1740646068,0.6298,0.62989,0.0,0,1740646068529,134,0.0
1740646069,0.62978,0.62987,0.0,0,1740646069624,134,0.0
1740646077,0.62979,0.62988,0.0,0,1740646077166,134,0.0
1740646078,0.6298,0.62989,0.0,0,1740646078190,134,0.0
1740646079,0.62979,0.62988,0.0,0,1740646079511,134,0.0
