datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2023-12-01,1701388800,37702.56,38950.35,37591.51,38674.41,130503,1004,0,38674.41,38674.41,38674.41,38674.41
2023-12-02,1701475200,38677.3,39687.81,38632.6,39430.05,104676,850,0,38842.33,38782.35857142857,38743.10454545455,38681.92880597015
2023-12-03,1701561600,39429.88,40154.62,39250.01,39944.05,106052,1008,0,39087.15666666667,38948.31448979592,38852.28140495869,38694.48722581125
2023-12-04,1701648000,39944.5,42356.3,39933.44,41920.3,152284,1151,0,39716.74407407408,39372.8838483965,39131.19218632608,38726.58486535542
2023-12-05,1701734400,41911.51,44495.01,41161.22,44061.54,163055,953,0,40682.2542798354,40042.69187005414,39579.4056239328,38779.6689960484
2023-12-06,1701820800,44066.79,44291.84,43355.76,43740.1,159806,1371,0,41361.77555098309,40570.89303147498,39957.65056721163,38829.02651847578
2023-12-07,1701907200,43740.59,44060.99,42792.52,43232.1,150472,986,0,41777.40320632018,40951.065455549986,40255.32778837421,38872.83819490886
2023-12-08,1701993600,43229.86,44722.75,43018.53,44159.46,147862,1271,0,42306.749160471256,41409.40753332856,40610.248898522004,38925.44139694957
2023-12-09,1702080000,44160.45,44352.18,43542.2,43690.86,115898,1466,0,42614.3293470332,41735.329314281626,40890.30445320182,38972.85849747744
2023-12-10,1702166400,43693.69,44025.71,43524.82,43742.47,104357,1660,0,42865.02726991471,42022.06369795569,41149.592230183465,39020.31731839807
2023-12-11,1702252800,43747.68,43776.55,40159.47,41228.17,203175,740,0,42501.281209933666,41908.65031253345,41156.73566380315,39042.286001797096
2023-12-12,1702339200,41226.19,42076.84,40634.51,41479.5,168145,876,0,42274.21871883729,41847.343125028674,41186.07787618468,39066.53688735135
2023-12-13,1702425600,41477.36,43436.92,40573.13,42845.55,156900,1092,0,42401.18122576234,41989.94410716744,41336.93897834971,39104.13900787522
2023-12-14,1702512000,42849.06,43394.66,41423.43,43000.99,154340,925,0,42534.47206448182,42134.37923471495,41488.21634395428,39142.91364461278
2023-12-15,1702598400,43003.6,43067.4,41643.93,41905.59,135143,912,0,42394.72049459697,42101.6950583271,41526.1594035948,39170.40296158181
2023-12-16,1702684800,41908.02,42670.23,41604.2,42213.07,109662,1207,0,42354.35371801986,42117.60576428038,41588.60582144982,39200.678255496416
2023-12-17,1702771200,42205.79,42339.74,41197.45,41351.74,127209,1427,0,42131.55066957101,42008.196369383186,41567.07256495438,39222.08185494421
2023-12-18,1702857600,41351.33,42717.48,40481.37,42624.74,159508,1192,0,42241.14829855523,42096.27403089988,41663.22414995853,39255.93914991989
2023-12-19,1702944000,42620.55,43464.11,41774.7,42242.09,130560,1020,0,42241.35756554296,42117.10488362847,41715.84831814412,39285.652093701785
2023-12-20,1703030400,42246.32,44315.57,42157.07,43663.45,143957,743,0,42557.37810653341,42338.0113288244,41892.90301649465,39329.21227187391
2023-12-21,1703116800,43651.93,44241.89,43271.34,43864.69,135797,926,0,42847.8918606371,42556.10828184949,42072.1563786315,39374.341403497056
2023-12-22,1703203200,43861.68,44427.81,43390.91,43988.32,130341,812,0,43101.32033605108,42760.709955870996,42246.35307148318,39420.25163828813
2023-12-23,1703289600,43992.02,44029.68,43286.71,43724.24,104789,1121,0,43239.74692803973,42898.357105032286,42380.70642862107,39463.07739313103
2023-12-24,1703376000,43720.46,43951.29,42649.44,42991.39,106698,683,0,43184.556499586455,42911.64751859911,42436.223116928246,39498.18498125908
2023-12-25,1703462400,42989.9,43819.88,42705.74,43578.95,119142,502,0,43272.199499678354,43006.97644451352,42540.10737902568,39538.78960831123
