datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2023-12-01,1701388800,37702.56,44722.75,37591.51,42243.48,4209234,502,0,42243.48,42243.48,42243.48,42243.48
2024-01-01,1704067200,42244.09,48983.91,38491.47,42560.23,5108474,655,0,42313.86888888889,42288.73,42272.27545454545,42246.63174129354
2024-02-01,1706745600,42552.06,63943.86,41830.32,61159.12,4285945,2600,0,46501.7024691358,44984.50000000001,43989.26132231404,42434.815704066736
2024-03-01,1709251200,61147.36,73706.93,59187.04,71288.85,6553041,2600,0,52009.95747599452,48742.2642857143,46471.04211119459,42721.920522931745
2024-04-01,1711929600,71243.5,72688.69,59066.44,60604.29,4823865,3295,0,53919.80914799574,50436.83938775511,47755.88282835872,42899.8545475792
2024-05-01,1714521600,60611.58,71900.34,56550.48,67478.68,4542780,2035,0,56932.89155955224,52871.38804664724,49548.864389417016,43144.41997496647
2024-06-01,1717200000,67480.39,71919.91,58454.62,62720.81,3848685,2291,0,58219.09565742952,54278.44832569764,50746.3139903791,43339.20992546432
2024-07-01,1719792000,62717.5,70044.51,53535.22,64616.02,5766895,2000,0,59640.63440022296,55755.244279169405,52007.1963548901,43550.91947844477
2024-08-01,1722470400,64614.88,65600.48,48940.68,59019.93,9103188,2000,0,59502.7000890623,56221.62795357378,52644.71759535463,43704.83998114681
2024-09-01,1725148800,59015.84,66511.63,52549.39,63314.34,7042347,1781,0,60349.731180381794,57234.87253163467,53614.68326850421,43899.95938431948
2024-10-01,1727740800,63314.34,73626.95,58857.02,70199.91,7356259,1780,0,62538.659806963624,59087.020741401146,55122.431153185644,44161.650435221774
2024-11-01,1730419200,70199.91,99728.71,66806.82,96489.24,10142794,1780,0,70083.23318319394,64430.194921200986,58883.05013925968,44682.322968204644
2024-12-01,1733011200,96489.24,108325.48,90794.51,93440.46,10119164,1780,0,75273.72803137306,68574.51850388656,62024.632853872434,45167.47856056082
