datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2023-12-03,1701561600,39429.88,44722.75,39250.01,43690.86,995429,953,0,43690.86,43690.86,43690.86,43690.86
2023-12-10,1702166400,43693.69,44025.71,40159.47,42213.07,1031722,740,0,43362.462222222224,43479.747142857144,43556.51545454546,43676.15562189055
2023-12-17,1702771200,42205.79,44427.81,40481.37,43724.24,932161,743,0,43442.857283950616,43514.674693877554,43571.76314049587,43676.63407341403
2023-12-24,1703376000,43720.46,43951.29,41267.02,42087.99,901437,502,0,43141.775665294925,43310.862594752194,43436.874673178056,43660.82666969847
2023-12-31,1703980800,42088.61,45912.4,41142.59,43951.07,1150759,655,0,43321.618850784944,43402.32079550188,43483.61970288914,43663.71466303481
2024-01-07,1704585600,43943.12,48983.91,41447.59,42832.7,1448310,765,0,43212.97021727718,43320.94639614447,43424.445184444674,43655.445860417545
2024-01-14,1705190400,42821.26,43570.16,40253.77,41665.53,1059598,2769,0,42869.09461343781,43084.45833955241,43264.54380404061,43635.64570260245
2024-01-21,1705795200,41672.42,42230.25,38491.47,42122.77,1022851,2600,0,42703.24469934052,42947.074291044926,43160.74618549146,43620.59221302431
2024-01-28,1706400000,42114.99,43847.49,41585.63,42977.34,915724,2600,0,42764.15476615373,42951.397963752795,43144.07289590132,43614.19169349174
2024-02-04,1707004800,42976.47,48206.77,42212.74,47733.58,914760,2600,0,43868.47148478624,43634.56682607383,43561.300814455746,43655.18063186496
2024-02-11,1707609600,47725.34,52771.77,47524.23,51613.87,1088476,2600,0,45589.67115483375,44774.46727949186,44293.35255859613,43734.371570851385
2024-02-18,1708214400,51571.32,52925.83,50450.49,51542.29,989685,2602,0,46912.47534264847,45741.299096707306,44952.34687145103,43812.06230148968
2024-02-25,1708819200,51529.22,63943.86,50848.85,61984.41,1250501,2600,0,50261.794155393254,48061.743511463406,46500.71624677366,43992.881681574356
2024-03-03,1709424000,61975.98,69991.55,59187.04,68400.0,1527193,2600,0,54292.50656530586,50967.20872411149,48491.56022433969,44235.738580265155
2024-03-10,1710028800,68390.01,73706.93,64721.77,65251.93,1546712,3416,0,56727.933995237894,53007.88319209557,50015.230203945175,44444.85491279983
2024-03-17,1710633600,65193.9,68904.26,60724.29,64097.51,1814112,2616,0,58365.61755185169,54592.11559322478,51295.43745813198,44640.40371963764
2024-03-24,1711238400,64007.13,71656.93,63775.2,69639.55,1217278,2600,0,60870.93587366243,56741.74907990695,52963.08405284725,44889.15144382035
2024-03-31,1711843200,69595.54,71356.03,64519.22,68889.02,1208444,5051,0,62652.73234618189,58477.0734970631,54410.896411679314,45127.956106070895
2024-04-07,1712448000,68875.92,72688.69,61450.2,63860.04,1178938,4288,0,62921.022935919245,59246.06871176838,55269.909465163015,45314.345000537855
2024-04-14,1713052800,64020.52,66864.67,59537.38,64954.94,1312054,3481,0,63373.00450571497,60061.62175294433,56150.366786511826,45509.77380650265
2024-04-21,1713657600,64962.43,67252.41,62338.67,63433.2,844309,3295,0,63386.38128222275,60543.275788238,56812.44253319257,45688.11635569168
2024-04-28,1714262400,63424.68,64715.82,56550.48,63905.08,997319,2061,0,63501.64766395103,61023.53353277543,57457.227757447785,45869.37967553554
2024-05-05,1714867200,63893.52,65496.77,60160.32,60821.48,951812,2035,0,62906.054849739696,60994.66874237894,57763.06887040708,46018.156793191905
2024-05-12,1715472000,60824.02,67494.26,60571.25,66895.69,936106,2061,0,63792.64043868643,61837.671779181954,58593.30715491552,46225.89344201587
2024-05-19,1716076800,66885.17,71900.34,65809.0,69311.9,959491,2290,0,65019.14256342278,62905.418667870246,59567.724686286834,46455.60495005552
2024-05-26,1716681600,69312.71,70602.03,66574.58,67693.8,1268623,2865,0,65613.51088266216,63589.47314388878,60306.4588057153,46666.93027393556
2024-06-02,1717286400,67701.39,71919.91,67228.19,69308.84,873137,2411,0,66434.69513095944,64406.52555190468,61124.85709610482,46892.22290802576
2024-06-09,1717891200,69311.64,70185.33,65003.16,66174.99,898338,2661,0,66376.98287963512,64659.16333020401,61583.96008736801,47084.09123729914
