datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2020-12-06,1607212800,81.437,82.109,81.156,81.448,111647,0,0,81.448,81.448,81.448,81.448
2020-12-13,1607817600,81.43,81.714,80.706,80.797,114155,0,0,81.30333333333333,81.355,81.38881818181817,81.44152238805971
2020-12-20,1608422400,80.837,80.899,80.136,80.439,98957,0,0,81.11125925925924,81.22414285714287,81.30247107438014,81.43154704091484
2020-12-27,1609027200,80.545,81.148,80.448,81.08,85701,0,0,81.10431275720163,81.20355102040817,81.28224643125468,81.42804906040823
2021-01-03,1609632000,81.083,81.979,80.55,81.887,161412,0,0,81.27824325560127,81.3011865889213,81.33722402841335,81.43261573642407
2021-01-10,1610236800,81.733,82.173,81.227,81.534,122953,0,0,81.33507808768988,81.33444564764683,81.35511275310304,81.43362453506663
2021-01-17,1610841600,81.508,82.197,81.075,81.468,107669,0,0,81.36461629042546,81.35352484084015,81.36537523009368,81.43396657949383
2021-01-24,1611446400,81.549,82.18,80.976,81.945,133613,0,0,81.49359044810869,81.4380212921487,81.41806839099425,81.4390514891506
2021-01-31,1612051200,81.868,82.619,81.562,82.554,117717,0,0,81.72923701519565,81.59744682184174,81.52133490090387,81.45014550418394
2021-02-07,1612656000,82.531,82.758,81.954,82.631,99773,0,0,81.92962878959662,81.74509727586435,81.62221354627623,81.4618953001622
2021-02-14,1613260800,82.624,83.85,82.624,83.541,113781,0,0,82.28771128079737,82.00165480788374,81.79664867843293,81.4825829091158
2021-02-21,1613865600,83.538,85.088,83.143,83.608,162882,0,0,82.58110877395352,82.23113269247179,81.96131698039356,81.50373133788084
2021-02-28,1614470400,83.636,85.676,83.573,85.629,161105,0,0,83.25841793529717,82.71654230783297,82.2947427094487,81.54477878725515
2021-03-07,1615075200,85.552,87.478,85.447,87.37,143494,0,0,84.17210283856447,83.38132197814254,82.75612973586244,81.60274118738198
2021-03-14,1615680000,87.282,88.069,86.803,87.061,128593,0,0,84.81407998555014,83.90699026697934,83.14748157805677,81.65705222034335
2021-03-21,1616284800,86.656,87.386,86.065,87.188,117712,0,0,85.341617766539,84.37570594312515,83.51480143459706,81.71208652660859
2021-03-28,1616889600,87.217,88.268,86.624,87.848,106459,0,0,85.898591596197,84.87174795125014,83.90872857690641,81.77314039201548
2021-04-04,1617494400,87.946,88.184,86.493,87.506,105662,0,0,86.25579346370877,85.24806967250012,84.2357532517331,81.8301837711994
2021-04-11,1618099200,87.432,87.582,86.547,86.963,111940,0,0,86.41295047177348,85.49305971928582,84.48368477430282,81.88125656949593
2021-04-18,1618704000,86.938,86.943,85.417,86.442,123037,0,0,86.41940592249048,85.6286226165307,84.66171343118437,81.92663710114275
