datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2019-12-01,1575158400,141.416,143.243,140.822,142.659,175626,0,0,142.659,142.659,142.659,142.659
2019-12-08,1575763200,142.669,147.948,142.476,145.884,214143,0,0,143.37566666666666,143.11971428571428,142.95218181818183,142.6910895522388
2019-12-15,1576368000,145.782,146.799,141.97,142.36,200419,0,0,143.14996296296295,143.0111836734694,142.898347107438,142.68779512883344
2019-12-22,1576972800,142.286,143.637,141.164,143.123,111368,0,0,143.14397119341564,143.02715743440234,142.91877009767092,142.6921255255615
2019-12-29,1577577600,143.092,144.355,141.0,141.314,148480,0,0,142.73731092821217,142.78242065805915,142.77288190697354,142.6784128337649
2020-01-05,1578182400,141.199,143.482,140.845,142.968,218425,0,0,142.78857516638723,142.80893199262215,142.79061991543048,142.68129429810554
2020-01-12,1578787200,142.804,144.516,142.362,143.361,174808,0,0,142.91578068496784,142.887798850819,142.84247265039136,142.68805753892042
2020-01-19,1579392000,143.113,144.6,142.715,142.888,171064,0,0,142.90960719941944,142.8878275864163,142.84661150035578,142.6900470161451
2020-01-26,1579996800,142.457,143.278,141.256,143.073,175041,0,0,142.94591671065956,142.91428078835685,142.8671922730507,142.6938574935964
2020-02-02,1580601600,142.878,143.367,140.923,141.429,176452,0,0,142.60882410829078,142.7020978185916,142.73644752095518,142.68127184689394
2020-02-09,1581206400,141.373,143.469,141.225,143.187,155137,0,0,142.7373076397817,142.7713695587928,142.77740683723198,142.68630396782038
2020-02-16,1581811200,143.174,144.946,142.315,144.538,170275,0,0,143.137461497608,143.0237453361081,142.93746076111998,142.70472880396147
2020-02-23,1582416000,144.193,144.617,137.53,138.725,275385,0,0,142.15691449813954,142.40963885952124,142.55450978283636,142.6651295123798
2020-03-01,1583020800,138.038,139.172,136.437,137.462,315124,0,0,141.11360016521962,141.70283330816108,142.09155434803304,142.6133570794208
2020-03-08,1583625600,136.367,137.2,131.226,132.33,532432,0,0,139.16168901739303,140.36385712128092,141.20414031639368,142.51103511843155
2020-03-15,1584230400,131.78,132.951,124.074,128.95,591484,0,0,136.8924247913057,138.73330610395507,140.09012756035787,142.37609944561135
2020-03-22,1584835200,129.157,134.753,127.332,134.39,496845,0,0,136.33633039323777,138.11283380339006,139.57193414577986,142.29663576953564
2020-03-29,1585440000,133.987,134.609,132.488,133.069,362916,0,0,135.61025697251827,137.39228611719147,138.98075831434534,142.204818498197
2020-04-05,1586044800,132.538,135.74,132.532,135.124,275852,0,0,135.5021998675142,137.068245243307,138.6301439221321,142.1343625927423
2020-04-12,1586649600,135.116,135.486,133.638,134.32,278807,0,0,135.23948878584437,136.67563877997742,138.23831265648374,142.05660774107324
2020-04-19,1587254400,134.407,134.713,131.905,132.898,313937,0,0,134.71915794454563,136.1359760971235,137.7528296877125,141.96547731578895
2020-04-26,1587859200,132.962,135.443,131.934,133.559,282418,0,0,134.46134506797995,135.7678366546773,137.37157244337502,141.88183077533333
2020-05-03,1588464000,133.345,133.415,130.602,132.331,261672,0,0,133.9879350528733,135.2768599897234,136.91333858488636,141.78679763329023
2020-05-10,1589068800,132.229,133.182,129.537,129.621,301309,0,0,133.01750504112368,134.46887999119147,136.25039871353306,141.6657449205212
2020-05-17,1589673600,129.407,132.498,129.19,130.858,268510,0,0,132.5376150319851,133.95303999244985,135.76018064866642,141.55820517006828
2020-05-24,1590278400,130.954,133.453,130.881,132.998,286756,0,0,132.63992280265506,133.81660570781415,135.50907331696948,141.47302899922184
2020-05-31,1590883200,132.795,139.731,132.741,138.823,369224,0,0,134.0139399576206,134.53180489241214,135.81033937906315,141.4466605514684
2020-06-07,1591488000,138.972,139.572,133.777,134.652,432174,0,0,134.15573107814936,134.54897562206756,135.7050357991483,141.37905198876723
2020-06-14,1592092800,134.32,136.341,131.875,131.938,410170,0,0,133.66290194967172,134.17597910462933,135.36257799922572,141.2851111729586
2020-06-21,1592697600,131.84,133.979,131.761,132.237,333644,0,0,133.34603484974468,133.8989820896823,135.07843454475065,141.19508021601376
2020-06-28,1593302400,132.214,134.695,131.95,134.159,261280,0,0,133.52669377202363,133.936127505442,134.99484958613695,141.12506946759572
2020-07-05,1593907200,134.011,135.912,133.985,134.946,252664,0,0,133.8420951560184,134.08039500466458,134.99040871466994,141.0635861893112
2020-07-12,1594512000,135.07,135.477,133.974,134.494,259548,0,0,133.98696289912542,134.13948143256965,134.94528064969992,140.99821717250214
2020-07-19,1595116800,134.389,136.618,134.339,135.776,278777,0,0,134.38452669931976,134.37326979934542,135.0208005906363,140.94625481257674
2020-07-26,1595721600,135.59,139.192,135.138,138.499,342540,0,0,135.29885409947093,134.96265982801037,135.3370005369421,140.92190401842177
2020-08-02,1596326400,138.315,139.225,137.741,138.202,329279,0,0,135.94399763292185,135.4254227097232,135.5974550335837,140.89484029684544
2020-08-09,1596931200,138.243,140.2,138.081,139.472,271213,0,0,136.72799815893922,136.00350517976275,135.949686394167,140.88068268195147
2020-08-16,1597536000,139.529,139.945,138.246,138.446,287125,0,0,137.10977634584162,136.35243301122523,136.17662399469728,140.8564569836236
2020-08-23,1598140800,138.364,141.607,138.283,140.624,285553,0,0,137.8907149356546,136.9626568667645,136.58093090427025,140.8541439788114
2020-08-30,1598745600,140.584,142.706,140.112,141.081,314917,0,0,138.59966717217577,137.55099160008385,136.99002809479114,140.85640125265408
2020-09-06,1599350400,140.848,140.985,135.566,135.829,281142,0,0,137.9839633561367,137.3049928000719,136.88448008617377,140.80637735959286
2020-09-13,1599955200,135.49,136.579,134.566,135.054,237289,0,0,137.33286038810633,136.9834224000616,136.7180728056125,140.74913977392526
2020-09-20,1600560000,135.005,135.324,133.02,134.543,266354,0,0,136.7128914129716,136.63479062862424,136.5203389141932,140.68738713935886
2020-09-27,1601164800,134.562,137.004,134.356,136.149,282347,0,0,136.587582210089,136.5653919673922,136.48658083108472,140.64222905837022
2020-10-04,1601769600,136.061,137.833,135.843,137.716,223178,0,0,136.8383417189581,136.72976454347904,136.598346210077,140.61311235132177
2020-10-11,1602374400,137.746,137.784,135.368,136.082,227927,0,0,136.67026578141187,136.63722675155347,136.55140564552454,140.56802665628376
2020-10-18,1602979200,135.917,137.658,135.917,136.546,209878,0,0,136.64265116332035,136.6241943584744,136.55091422320413,140.5280064905496
2020-10-25,1603584000,136.62,137.06,134.398,135.514,228499,0,0,136.3918397936936,136.46559516440664,136.45664929382193,140.47811587870333
2020-11-01,1604188800,135.117,137.349,134.868,135.895,303199,0,0,136.2814309506506,136.3840815694914,136.40559026711082,140.4325127356317
2020-11-08,1604793600,135.941,140.305,135.722,138.067,265593,0,0,136.67822407272823,136.6244984881355,136.55662751555528,140.40897529547615
2020-11-15,1605398400,137.986,138.863,137.187,137.976,199839,0,0,136.96661872323307,136.81757013268756,136.68566137777754,140.38476658606845
2020-11-22,1606003200,137.946,139.848,137.844,138.563,188072,0,0,137.32137011807015,137.06691725658933,136.85632852525228,140.3666395553613
2020-11-29,1606608000,138.671,140.697,138.407,139.953,240961,0,0,137.90617675849902,137.4792147913623,137.13784411386573,140.36252373889005
2020-12-06,1607212800,139.637,140.323,136.784,137.546,261246,0,0,137.82613747883258,137.4887555354534,137.1749491944234,140.3344986270603
2020-12-13,1607817600,138.65,140.439,138.263,139.615,237324,0,0,138.22366248353646,137.79250474467435,137.39677199493036,140.32733943674128
2020-12-20,1608422400,138.839,141.209,136.963,140.395,227293,0,0,138.70618193163946,138.16428978114945,137.6693381772094,140.32801267617668
2020-12-27,1609027200,140.286,141.219,139.471,141.143,170395,0,0,139.24769705794182,138.58981981241382,137.9851256156449,140.33612200278188
