datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2022-12-01,1669852800,165.862,167.216,164.51,165.641,95466,20,0,165.641,165.641,165.641,165.641
2022-12-02,1669939200,165.671,165.98,164.037,165.089,86158,20,0,165.51833333333335,165.56214285714287,165.59081818181818,165.63550746268658
2022-12-04,1670112000,165.074,165.331,164.883,165.33,2133,76,0,165.4764814814815,165.5289795918368,165.56710743801654,165.63246758743597
2022-12-05,1670198400,165.349,166.801,165.287,166.455,69435,20,0,165.6939300411523,165.6612682215744,165.6478249436514,165.64065198955103
2022-12-06,1670284800,166.512,167.487,165.959,166.046,71986,20,0,165.77216780978512,165.71622990420664,165.6840226760467,165.64468530308784
2022-12-07,1670371200,166.074,167.418,165.957,166.489,73260,20,0,165.9314638520551,165.82662563217713,165.75720243276973,165.65308644435063
2022-12-08,1670457600,166.516,167.335,166.28,167.132,58576,20,0,166.1982496627095,166.01310768472328,165.88218402979066,165.6678020021183
2022-12-09,1670544000,167.159,168.05,166.358,167.503,67748,20,0,166.48819418210738,166.22594944404855,166.02953093617333,165.68606267871414
2022-12-11,1670716800,167.382,167.479,167.243,167.258,1766,76,0,166.6592621416391,166.3733852377559,166.14120994197575,165.7017038460901
2022-12-12,1670803200,167.286,169.016,167.118,168.686,56861,20,0,167.10964833238594,166.70375877521934,166.37255449270523,165.73139833518374
2022-12-13,1670889600,168.714,169.271,167.091,167.469,87054,20,0,167.1895042585224,166.81307895018801,166.47223135700474,165.74868790398787
2022-12-14,1670976000,167.495,168.376,166.721,168.065,93692,20,0,167.38405886773964,166.9919248144469,166.61702850636794,165.77173578554024
2022-12-15,1671062400,168.092,168.832,167.617,167.898,81968,20,0,167.49826800824195,167.12136412666877,166.7334804603345,165.79289264339556
2022-12-16,1671148800,167.921,167.994,165.908,165.968,72724,20,0,167.15820845085483,166.95659782285895,166.6638913275768,165.79463500515283
2022-12-18,1671321600,165.225,166.052,165.225,166.025,2345,86,0,166.90638435066487,166.82351241959338,166.6058102977971,165.7969271941563
2022-12-19,1671408000,166.059,166.893,165.47,166.448,68621,20,0,166.80452116162823,166.7698677882229,166.59146390708827,165.80340553053284
2022-12-20,1671494400,166.476,167.013,158.592,160.706,175893,20,0,165.44929423682194,165.90360096133392,166.0564217337166,165.7526850774927
2022-12-21,1671580800,160.733,161.028,159.469,159.831,76406,20,0,164.20078440641706,165.03608653828624,165.49047430337873,165.69376283791567
2022-12-22,1671667200,159.858,160.236,158.793,159.278,65816,20,0,163.10683231610216,164.2135027471025,164.92570391216248,165.62992440171752
2022-12-23,1671753600,159.309,160.518,159.16,160.006,61002,20,0,162.41775846807946,163.61243092608788,164.47845810196588,165.57396495493427
2022-12-25,1671926400,160.056,160.191,159.929,160.054,731,286,0,161.89247880850624,163.1040836509325,164.0762346381508,165.51903993050706
2022-12-26,1672012800,160.157,160.801,159.535,160.239,67994,48,0,161.52503907328264,162.69478598651358,163.7273951255916,165.46650221975577
2022-12-27,1672099200,160.349,160.94,160.187,160.508,49885,20,0,161.29903039033093,162.38238798844023,163.4347228414469,165.41716388921097
2022-12-28,1672185600,160.535,162.33,160.518,161.183,61712,20,0,161.27324585914627,162.21104684723448,163.23002076495172,165.37503290523873
2022-12-29,1672272000,161.211,161.474,160.052,160.202,56453,20,0,161.03519122378043,161.92404015477243,162.95474614995612,165.3235599410075
2022-12-30,1672358400,160.238,160.287,157.831,158.572,74421,20,0,160.48781539627367,161.44517727551923,162.5563146817783,165.25638024010195
