datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2022-12-01,1669852800,1.20745,1.24464,1.1992099999999999,1.20948,2197465,8,0,1.20948,1.20948,1.20948,1.20948
2023-01-01,1672531200,1.20695,1.24474,1.18408,1.23079,1980532,8,0,1.2142155555555556,1.2125242857142857,1.2114172727272727,1.2096920398009952
2023-02-01,1675209600,1.23078,1.24,1.1914500000000001,1.20324,1644987,0,0,1.2117765432098766,1.2111979591836735,1.2106738842975204,1.2096278403999903
2023-03-01,1677628800,1.20325,1.24226,1.1801599999999999,1.23293,1975350,8,0,1.2164773113854597,1.2143025364431488,1.2126971675432003,1.2098597026845677
2023-04-01,1680307200,1.23178,1.25835,1.2274,1.25576,1012187,8,0,1.2252067977442462,1.2202250312369847,1.2166119704938185,1.2103164220608407
2023-05-01,1682899200,1.2557800000000001,1.26795,1.23077,1.24449,1138568,8,0,1.2294919538010805,1.223691455345987,1.2191463368125623,1.2106564576622254
2023-06-01,1685577600,1.24451,1.28478,1.23681,1.26967,1278099,8,0,1.2384204085119515,1.230259818867989,1.2237393971023294,1.211243657088472
2023-07-01,1688169600,1.26905,1.31418,1.2658,1.28311,1257227,8,0,1.248351428842629,1.2378098447439905,1.2291367246384812,1.2119587450776415
2023-08-01,1690848000,1.28314,1.28382,1.25476,1.26707,1375631,8,0,1.2525111113220446,1.2419898669234204,1.232585204216801,1.2125071157733864
2023-09-01,1693526400,1.26707,1.27123,1.211,1.22029,1089853,8,0,1.2453508643615903,1.2388898859343604,1.23146745837891,1.2125845574074823
2023-10-01,1696118400,1.21869,1.23368,1.2037,1.215,1298909,8,0,1.2386062278367924,1.2354770450865946,1.2299704167080998,1.2126085916621343
2023-11-01,1698796800,1.21501,1.27329,1.20953,1.26296,1160168,7,0,1.244018177206394,1.2394031815027955,1.2329694697346363,1.2131096007003221
2023-12-01,1701388800,1.26303,1.28272,1.24996,1.27308,1349349,7,0,1.2504763600494178,1.2442141555738249,1.2366158815769421,1.213706321091364
