datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2024-12-01,1733011200,1.27175,1.27319,1.26952,1.27011,3142,10,0,1.27011,1.27011,1.27011,1.27011
2024-12-02,1733097600,1.27011,1.27222,1.2616399999999999,1.26581,80502,8,0,1.2691544444444445,1.2694957142857144,1.269719090909091,1.2700672139303484
2024-12-03,1733184000,1.2658,1.26994,1.26363,1.26736,68196,8,0,1.2687556790123455,1.2691906122448982,1.2695046280991735,1.270040276478305
2024-12-04,1733270400,1.26735,1.27211,1.26297,1.27006,78788,8,0,1.2690455281207131,1.269314810495627,1.2695551164537942,1.270040472732252
2024-12-05,1733356800,1.27007,1.27702,1.26925,1.27597,60704,10,0,1.2705842996494436,1.2702655518533947,1.2701382876852674,1.270099473003573
2024-12-06,1733443200,1.276,1.2811,1.27209,1.27413,63375,8,0,1.2713722330606785,1.2708176158743383,1.2705011706229703,1.2701395777498063
2024-12-08,1733616000,1.27255,1.27499,1.27238,1.27478,2237,10,0,1.2721295146027498,1.2713836707494328,1.270890155111791,1.2701857511055297
2024-12-09,1733702400,1.2747899999999999,1.27984,1.27163,1.27481,56044,10,0,1.272725178024361,1.2718731463566568,1.2712465046470829,1.2702317635323406
2024-12-10,1733788800,1.27481,1.2779099999999999,1.2723499999999999,1.2779,57593,10,0,1.2738751384633917,1.2727341254485631,1.2718513678609844,1.2703080643927154
2024-12-11,1733875200,1.2779099999999999,1.27814,1.27127,1.27645,69055,10,0,1.2744473299159713,1.273264964670197,1.2722694253281677,1.2703691781798525
2024-12-12,1733961600,1.27645,1.27875,1.2664900000000001,1.26766,71186,10,0,1.2729390343790887,1.2724642554315975,1.2718503866619706,1.2703422211830382
2024-12-13,1734048000,1.26763,1.26787,1.26078,1.2619500000000001,57552,10,0,1.2704970267392912,1.2709622189413694,1.2709503515108824,1.2702587164946497
2024-12-15,1734220800,1.2602,1.26271,1.2597800000000001,1.26261,2013,10,0,1.2687443541305599,1.2697690448068881,1.2701921377371659,1.2701826098628621
2024-12-16,1734307200,1.2625899999999999,1.26983,1.2625600000000001,1.2689599999999999,52405,10,0,1.2687922754348797,1.2696534669773327,1.2700801252156053,1.270170444590595
2024-12-17,1734393600,1.26897,1.27284,1.26654,1.27101,57262,10,0,1.2692851031160175,1.2698472574091424,1.2701646592869138,1.2701787983757633
2024-12-18,1734480000,1.27101,1.2727,1.25618,1.2567,79042,10,0,1.2664884135346803,1.2679690777792652,1.2689405993517398,1.2700446809789896
2024-12-19,1734566400,1.25671,1.26664,1.24945,1.24966,83109,8,0,1.2627487660825292,1.2653534952393704,1.2671878175924907,1.2698418483324325
2024-12-20,1734652800,1.24967,1.26136,1.24741,1.2567599999999999,67699,8,0,1.2614179291753005,1.2641258530623176,1.2662398341749916,1.2697116806873336
