datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2022-12-01,1669852800,137.313,138.169,130.563,131.106,2054437,8,0,131.106,131.106,131.106,131.106
2023-01-01,1672531200,130.753,134.77,127.217,130.11,2356412,8,0,130.88466666666667,130.9637142857143,131.01545454545453,131.0960895522388
2023-02-01,1675209600,130.107,136.914,128.079,136.344,1664122,0,0,132.09785185185186,131.73232653061228,131.499867768595,131.14830756664438
2023-03-01,1677628800,136.342,137.906,129.636,132.803,2439311,8,0,132.2545514403292,131.88527988338197,131.61833433508636,131.1647721679713
2023-04-01,1680307200,133.234,136.556,130.616,136.4,1178158,8,0,133.17576223136717,132.5302399000417,132.05303121371486,131.21686398719547
2023-05-01,1682899200,136.399,140.927,133.495,139.135,1219337,8,0,134.50003729106334,133.4737770571786,132.69684655792258,131.29565141020845
2023-06-01,1685577600,139.133,145.062,138.41,144.268,1256034,11,0,136.67069567082703,135.0158089061531,133.74876959811144,131.42472950562927
2023-07-01,1688169600,144.292,144.908,137.23,142.323,1579028,11,0,137.92676329953213,136.05969334813122,134.5282450891922,131.5331700080608
2023-08-01,1690848000,142.323,147.359,141.511,145.481,1286553,11,0,139.60548256630275,137.4055942983982,135.52395008108383,131.67195438609005
2023-09-01,1693526400,145.481,149.702,144.439,149.314,948464,11,0,141.76293088490215,139.10679511291275,136.77759098280347,131.84749712851703
2023-10-01,1696118400,149.537,151.706,147.285,151.32,919275,11,0,143.88672402159057,140.85153866821094,138.09962816618497,132.0412533759945
2023-11-01,1698796800,151.32,151.905,146.666,147.968,1124305,10,0,144.79367423901488,141.86817600132366,138.99675287834998,132.1997284667806
2023-12-01,1701388800,147.996,148.342,140.247,140.993,1882257,10,0,143.94907996367823,141.74315085827743,139.17822988940907,132.2872237059171
