time,bid,ask,last,volume,time_msc,flags,volume_real
1740613745,0.63036,0.63045,0.0,0,1740613745379,134,0.0
1740613757,0.63037,0.63046,0.0,0,1740613757291,134,0.0
1740613758,0.6304,0.63049,0.0,0,1740613758911,134,0.0
1740613758,0.63039,0.63048,0.0,0,1740613758914,134,0.0
1740613759,0.63038,0.63047,0.0,0,1740613759239,134,0.0
1740613765,0.63039,0.63048,0.0,0,1740613765181,134,0.0
1740613772,0.63037,0.63046,0.0,0,1740613772441,134,0.0
1740613772,0.63036,0.63045,0.0,0,1740613772770,134,0.0
1740613774,0.63035,0.63044,0.0,0,1740613774419,134,0.0
1740613777,0.63034,0.63043,0.0,0,1740613777720,134,0.0
1740613779,0.63033,0.63042,0.0,0,1740613779700,134,0.0
1740613783,0.63032,0.63041,0.0,0,1740613783328,134,0.0
1740613786,0.63033,0.63042,0.0,0,1740613786301,134,0.0
1740613794,0.63034,0.63043,0.0,0,1740613794881,134,0.0
1740613800,0.63034,0.63043,0.0,0,1740613800160,130,0.0
1740613801,0.63032,0.63041,0.0,0,1740613801149,134,0.0
1740613804,0.63033,0.63042,0.0,0,1740613804448,134,0.0
1740613805,0.63032,0.63041,0.0,0,1740613805439,134,0.0
1740613809,0.63033,0.63042,0.0,0,1740613809074,134,0.0
1740613813,0.63032,0.63041,0.0,0,1740613813690,134,0.0
1740613818,0.63033,0.63042,0.0,0,1740613818639,134,0.0
1740613820,0.63034,0.63043,0.0,0,1740613820296,134,0.0
1740613822,0.63033,0.63042,0.0,0,1740613822599,134,0.0
1740613826,0.63032,0.63041,0.0,0,1740613826890,134,0.0
1740613831,0.63031,0.6304,0.0,0,1740613831217,134,0.0
1740613835,0.63032,0.63041,0.0,0,1740613835139,134,0.0
1740613841,0.63031,0.6304,0.0,0,1740613841408,134,0.0
1740613860,0.63031,0.6304,0.0,0,1740613860219,130,0.0
1740613864,0.63033,0.63042,0.0,0,1740613864220,134,0.0
1740613870,0.63032,0.63041,0.0,0,1740613870484,134,0.0
1740613871,0.63031,0.6304,0.0,0,1740613871768,134,0.0
1740613886,0.63032,0.63041,0.0,0,1740613886302,134,0.0
1740613896,0.63031,0.6304,0.0,0,1740613896848,134,0.0
1740613898,0.63032,0.63041,0.0,0,1740613898829,134,0.0
1740613900,0.6303,0.63039,0.0,0,1740613900148,134,0.0
1740613907,0.63031,0.6304,0.0,0,1740613907408,134,0.0
1740613920,0.63031,0.6304,0.0,0,1740613920279,130,0.0
1740613922,0.63032,0.63041,0.0,0,1740613922917,134,0.0
1740613924,0.6303,0.63039,0.0,0,1740613924568,134,0.0
1740613948,0.63029,0.63038,0.0,0,1740613948332,134,0.0
1740613973,0.6303,0.63039,0.0,0,1740613973451,134,0.0
1740613977,0.63029,0.63038,0.0,0,1740613977039,134,0.0
1740613979,0.63032,0.63041,0.0,0,1740613979349,134,0.0
1740613980,0.63032,0.63041,0.0,0,1740613980007,130,0.0
1740613981,0.63031,0.6304,0.0,0,1740613981988,134,0.0
1740613984,0.63032,0.63041,0.0,0,1740613984297,134,0.0
1740613985,0.63033,0.63042,0.0,0,1740613985948,134,0.0
1740614040,0.63033,0.63042,0.0,0,1740614040066,130,0.0
1740614046,0.63033,0.63042,0.0,0,1740614046007,4,0.0
1740614052,0.63032,0.63041,0.0,0,1740614052277,134,0.0
1740614063,0.63033,0.63042,0.0,0,1740614063496,134,0.0
1740614065,0.63032,0.63041,0.0,0,1740614065807,134,0.0
1740614066,0.63034,0.63043,0.0,0,1740614066135,134,0.0
1740614079,0.63033,0.63042,0.0,0,1740614079006,134,0.0
1740614700,0.63017,0.63107,0.0,0,1740614700098,134,0.0
1740614700,0.63012,0.63107,0.0,0,1740614700429,130,0.0
1740614701,0.63018,0.63104,0.0,0,1740614701088,134,0.0
1740614701,0.63021,0.63104,0.0,0,1740614701416,130,0.0
1740614701,0.63022,0.63104,0.0,0,1740614701457,130,0.0
1740614701,0.63019,0.63104,0.0,0,1740614701747,130,0.0
1740614702,0.63019,0.63097,0.0,0,1740614702408,4,0.0
1740614702,0.63021,0.63097,0.0,0,1740614702737,130,0.0
1740614704,0.63023,0.63097,0.0,0,1740614704057,130,0.0
1740614708,0.63028,0.63097,0.0,0,1740614708347,130,0.0
