time,bid,ask,last,volume,time_msc,flags,volume_real
1738229930,107.111,107.126,0.0,0,1738229930655,130,0.0
1738229931,107.111,107.127,0.0,0,1738229931734,4,0.0
1738229932,107.112,107.127,0.0,0,1738229932137,130,0.0
1738229932,107.111,107.126,0.0,0,1738229932965,134,0.0
1738229933,107.11,107.125,0.0,0,1738229933755,134,0.0
1738229934,107.111,107.126,0.0,0,1738229934763,134,0.0
1738229939,107.11,107.125,0.0,0,1738229939613,134,0.0
1738229940,107.11,107.125,0.0,0,1738229940020,130,0.0
1738229940,107.109,107.123,0.0,0,1738229940229,134,0.0
1738229941,107.109,107.124,0.0,0,1738229941633,4,0.0
1738229942,107.11,107.123,0.0,0,1738229942037,134,0.0
1738229942,107.111,107.124,0.0,0,1738229942537,134,0.0
1738229943,107.111,107.125,0.0,0,1738229943858,4,0.0
1738229944,107.111,107.124,0.0,0,1738229944666,4,0.0
1738229945,107.111,107.125,0.0,0,1738229945505,4,0.0
1738229946,107.111,107.124,0.0,0,1738229946166,4,0.0
1738229946,107.111,107.125,0.0,0,1738229946286,4,0.0
1738229947,107.106,107.119,0.0,0,1738229947295,134,0.0
1738229947,107.106,107.12,0.0,0,1738229947497,4,0.0
1738229947,107.107,107.12,0.0,0,1738229947815,130,0.0
1738229948,107.104,107.118,0.0,0,1738229948148,134,0.0
1738229949,107.104,107.119,0.0,0,1738229949135,4,0.0
1738229950,107.104,107.118,0.0,0,1738229950456,4,0.0
1738229952,107.104,107.119,0.0,0,1738229952550,4,0.0
1738229952,107.111,107.125,0.0,0,1738229952950,134,0.0
1738229953,107.109,107.123,0.0,0,1738229953162,134,0.0
1738229953,107.111,107.125,0.0,0,1738229953425,134,0.0
1738229953,107.11,107.124,0.0,0,1738229953559,134,0.0
1738229953,107.11,107.125,0.0,0,1738229953759,4,0.0
1738229954,107.11,107.124,0.0,0,1738229954085,4,0.0
1738229954,107.111,107.126,0.0,0,1738229954166,134,0.0
1738229954,107.11,107.125,0.0,0,1738229954413,134,0.0
1738229958,107.113,107.127,0.0,0,1738229958413,134,0.0
1738229961,107.116,107.13,0.0,0,1738229961043,134,0.0
1738229961,107.116,107.131,0.0,0,1738229961344,4,0.0
1738229962,107.117,107.131,0.0,0,1738229962049,130,0.0
1738229963,107.116,107.131,0.0,0,1738229963325,130,0.0
