time,bid,ask,last,volume,time_msc,flags,volume_real
1614291981,1.2172399999999999,1.2172399999999999,0.0,0,1614291981506,134,0.0
1614291982,1.21723,1.21723,0.0,0,1614291982014,134,0.0
1614291982,1.21721,1.21721,0.0,0,1614291982535,134,0.0
1614291983,1.21718,1.21719,0.0,0,1614291983039,134,0.0
1614291983,1.21721,1.21721,0.0,0,1614291983567,134,0.0
1614291984,1.21723,1.2172399999999999,0.0,0,1614291984144,134,0.0
1614291984,1.21728,1.21728,0.0,0,1614291984650,134,0.0
1614291985,1.2173,1.2173,0.0,0,1614291985798,134,0.0
1614291986,1.21728,1.21729,0.0,0,1614291986368,134,0.0
1614291987,1.21729,1.21729,0.0,0,1614291987185,130,0.0
1614291987,1.2173,1.2173,0.0,0,1614291987855,134,0.0
1614291991,1.2173,1.21731,0.0,0,1614291991259,4,0.0
1614291991,1.21728,1.21729,0.0,0,1614291991786,134,0.0
1614291992,1.21733,1.21733,0.0,0,1614291992301,134,0.0
1614291992,1.21732,1.21732,0.0,0,1614291992808,134,0.0
1614291993,1.21729,1.21729,0.0,0,1614291993425,134,0.0
1614291994,1.2173,1.2173,0.0,0,1614291994586,134,0.0
1614291995,1.21731,1.21732,0.0,0,1614291995090,134,0.0
1614291995,1.2173,1.2173,0.0,0,1614291995842,134,0.0
1614291996,1.21732,1.21732,0.0,0,1614291996350,134,0.0
1614291997,1.21733,1.21733,0.0,0,1614291997048,134,0.0
1614291997,1.21731,1.21732,0.0,0,1614291997551,134,0.0
1614292000,1.2173,1.21732,0.0,0,1614292000014,130,0.0
1614292001,1.21728,1.21729,0.0,0,1614292001200,134,0.0
1614292002,1.21727,1.21728,0.0,0,1614292002333,134,0.0
1614292002,1.2173,1.2173,0.0,0,1614292002836,134,0.0
1614292003,1.2173,1.21731,0.0,0,1614292003337,4,0.0
1614292003,1.21728,1.21729,0.0,0,1614292003851,134,0.0
1614292004,1.21727,1.21728,0.0,0,1614292004380,134,0.0
1614292005,1.2173,1.2173,0.0,0,1614292005029,134,0.0
1614292005,1.21728,1.21728,0.0,0,1614292005553,134,0.0
1614292006,1.21727,1.21728,0.0,0,1614292006610,130,0.0
1614292011,1.21723,1.21723,0.0,0,1614292011849,134,0.0
1614292012,1.21715,1.21715,0.0,0,1614292012546,134,0.0
1614292013,1.21713,1.21714,0.0,0,1614292013048,134,0.0
1614292015,1.21717,1.21717,0.0,0,1614292015198,134,0.0
1614292015,1.21714,1.21714,0.0,0,1614292015719,134,0.0
