datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2021-12-01,1638316800,1775.78,1830.32,1752.92,1828.71,1451443,0,0,1828.71,1828.71,1828.71,1828.71
2022-01-01,1640995200,1830.59,1853.86,1780.29,1796.91,1444357,7,0,1821.6433333333334,1824.167142857143,1825.8190909090908,1828.3935820895524
2022-02-01,1643673600,1797.49,1974.37,1788.7,1908.17,1324455,7,0,1840.8714814814816,1836.1675510204086,1833.3055371900825,1829.1873772926415
2022-03-01,1646092800,1907.87,2070.34,1890.1,1936.7,1475576,7,0,1862.16670781893,1850.5293294460646,1842.7050338091658,1830.2571546330134
2022-04-01,1648771200,1937.31,1998.36,1872.07,1896.53,1450469,7,0,1869.8029949702789,1857.1008538109127,1847.598212553787,1830.9165859301975
2022-05-01,1651363200,1899.31,1909.76,1786.72,1837.66,1487807,7,0,1862.6601071991058,1854.3235889807825,1846.694738685261,1830.9836845776583
2022-06-01,1654041600,1837.12,1879.0,1802.72,1806.77,1398452,7,0,1850.240083377082,1847.530219126385,1843.0652169866007,1830.742752392806
2022-07-01,1656633600,1806.88,1814.2,1680.85,1765.4,1435244,7,0,1831.3867315155082,1835.7973306797587,1836.0047427150914,1830.0925757520818
2022-08-01,1659312000,1765.09,1807.95,1709.54,1710.49,1457858,7,0,1804.5207911787288,1817.8962834397935,1824.594311559174,1828.9025003714642
2022-09-01,1661990400,1711.01,1735.07,1614.75,1661.06,1532280,0,0,1772.6406153612336,1795.4911000912516,1809.7275559628854,1827.2324257409025
2022-10-01,1664582400,1664.2,1729.38,1617.22,1633.18,1991684,7,0,1741.6493675031818,1772.3038000782158,1793.6777781480776,1825.3015558330328
2022-11-01,1667260800,1632.55,1786.52,1616.6,1768.27,2160680,0,0,1747.5650636135858,1771.727542924185,1791.367980134616,1824.73407766554
2022-12-01,1669852800,1769.78,1833.29,1765.81,1824.51,1971572,0,0,1764.6639383661225,1779.2678939350158,1794.3808910314688,1824.7318480370272
