datetime,timestamp,open,high,low,close,volume,spread,real_volume,ema8,ema13,ema21,ema200
2021-12-05,1638662400,1782.14,1793.08,1770.13,1782.76,337210,7,0,1782.76,1782.76,1782.76,1782.76
2021-12-12,1639267200,1782.76,1814.26,1752.92,1797.96,350782,7,0,1786.1377777777777,1784.9314285714288,1784.141818181818,1782.9112437810945
2021-12-19,1639872000,1800.34,1810.73,1784.87,1808.31,228830,7,0,1791.064938271605,1788.2712244897962,1786.3389256198345,1783.1639677235712
2021-12-26,1640476800,1805.98,1830.32,1789.42,1828.71,238151,7,0,1799.4305075445818,1794.0481924198255,1790.1908414725767,1783.6171620745804
2022-01-02,1641081600,1830.59,1831.78,1782.57,1796.04,328649,7,0,1798.6770614235636,1794.3327363598505,1790.7225831568878,1783.7407724021966
2022-01-09,1641686400,1795.17,1829.13,1790.35,1817.45,340358,7,0,1802.8488255516606,1797.6352025941578,1793.1523483244434,1784.0761876021747
2022-01-16,1642291200,1817.36,1847.89,1805.75,1833.66,345655,7,0,1809.6957532068473,1802.781602223564,1796.8348621131304,1784.5695588698147
2022-01-23,1642896000,1832.94,1853.86,1780.29,1791.3,374332,7,0,1805.60780804977,1801.1413733344834,1796.3316928301183,1784.6365284332992
2022-01-30,1643500800,1789.18,1814.89,1785.58,1807.78,243834,7,0,1806.0905173720432,1802.0897485724145,1797.3724480273802,1784.8668117324703
2022-02-06,1644105600,1808.58,1865.48,1807.9,1860.51,307902,7,0,1818.1837357338115,1810.4354987763554,1803.1122254794366,1785.6194802724458
2022-02-13,1644710400,1856.81,1902.46,1844.55,1898.29,316544,7,0,1835.9851277929647,1822.9861418083046,1811.7647504358513,1786.7405799712274
2022-02-20,1645315200,1901.87,1974.37,1878.11,1887.83,425150,7,0,1847.506210505639,1832.2495501214041,1818.679773123501,1787.7464448471355
2022-02-27,1645920000,1922.88,1970.21,1890.98,1968.68,403666,7,0,1874.4337192821636,1851.7396143897752,1832.316157385001,1789.5467787292537
2022-03-06,1646524800,1982.95,2070.34,1958.66,1985.57,354163,7,0,1899.130670552794,1870.8582409055216,1846.2483248954552,1791.4972585428932
2022-03-13,1647129600,1980.21,1983.7,1895.27,1920.09,240461,7,0,1903.78829931884,1877.89134934759,1852.9612044504138,1792.7767883086356
2022-03-20,1647734400,1924.69,1966.17,1910.71,1955.02,268395,7,0,1915.173121692431,1888.90972801222,1862.2392767731035,1794.3911486239726
2022-03-27,1648339200,1955.5,1958.31,1890.1,1922.93,371539,7,0,1916.8968724274464,1893.7697668676174,1867.7566152482757,1795.6701421700027
2022-04-03,1648944000,1924.28,1948.11,1915.01,1945.39,337821,7,0,1923.2286785546808,1901.1440858865292,1874.8141956802506,1797.159891999157
2022-04-10,1649548800,1947.92,1981.5,1939.96,1972.17,276373,7,0,1934.1045277647518,1911.2906450455966,1883.6647233456822,1798.9012861086183
2022-04-17,1650153600,1972.59,1998.36,1926.54,1931.31,366086,7,0,1933.483521594807,1914.150552896226,1887.9961121324382,1800.2187857493286
2022-04-24,1650758400,1932.44,1934.39,1872.07,1896.53,393929,7,0,1925.271627907072,1911.633331053908,1888.7719201203984,1801.1771062891364
2022-05-01,1651363200,1899.31,1909.76,1850.38,1881.93,349674,7,0,1915.6401550388337,1907.389998046207,1888.1499273821803,1801.9806176693442
2022-05-08,1651968000,1883.49,1885.61,1799.08,1810.87,398920,7,0,1892.3578983635373,1893.601426896749,1881.1244794383456,1802.0690692348232
2022-05-15,1652572800,1814.08,1849.37,1786.72,1845.84,350068,7,0,1882.0205876160844,1886.7783659114993,1877.9167994894049,1802.504600884228
2022-05-22,1653177600,1848.71,1869.65,1840.95,1853.28,287001,7,0,1875.6337903680655,1881.9928850669996,1875.6770904449136,1803.0098287361263
2022-05-29,1653782400,1852.56,1874.05,1828.47,1850.52,268903,7,0,1870.052948064051,1877.496758628857,1873.3900822226487,1803.4825667586524
2022-06-05,1654387200,1850.66,1875.88,1825.02,1870.86,279006,7,0,1870.2322929387062,1876.548650253306,1873.1600747478624,1804.1529889799594
2022-06-12,1654992000,1877.96,1879.0,1805.09,1841.1,405473,7,0,1863.758450063438,1871.4845573599769,1870.2455224980567,1804.5206209304079
2022-06-19,1655596800,1836.06,1847.77,1816.9,1826.26,303351,7,0,1855.425461160452,1865.0239063085517,1866.246838634597,1804.736933159956
2022-06-26,1656201600,1836.07,1841.0,1784.49,1807.42,319161,7,0,1844.7575809025739,1856.7947768359015,1860.89894421327,1804.763630342444
2022-07-03,1656806400,1809.78,1814.2,1732.26,1741.76,306525,7,0,1821.8692295908909,1840.3612372879159,1850.0681311029725,1804.1367285479919
2022-07-10,1657411200,1741.03,1745.3,1697.41,1706.51,384974,7,0,1796.2338452373597,1821.2396319610707,1837.0173919117933,1803.1653183136834
2022-07-17,1658016000,1706.89,1739.22,1680.85,1722.84,322979,7,0,1779.9241018512796,1807.1825416809177,1826.637629010721,1802.36606141504
2022-07-24,1658620800,1725.98,1767.87,1711.46,1765.4,345468,7,0,1776.6965236621063,1801.2136071550724,1821.070571827928,1801.9982399084226
2022-07-31,1659225600,1765.09,1794.9,1754.27,1774.01,360590,7,0,1776.0995184038607,1797.3273775614907,1816.792338025389,1801.7197499590852
2022-08-07,1659830400,1773.11,1807.95,1771.18,1801.0,297460,7,0,1781.6329587585583,1797.8520379098493,1815.3566709321717,1801.7125882679502
2022-08-14,1660435200,1801.53,1801.74,1745.57,1746.58,303624,7,0,1773.8434123677675,1790.5274610655852,1809.1042463019742,1801.1640053001101
2022-08-21,1661040000,1745.58,1765.41,1727.72,1738.58,307193,7,0,1766.0070985082637,1783.106395199073,1802.6929511836129,1800.5412788792135
2022-08-28,1661644800,1734.82,1745.41,1688.76,1711.61,316894,7,0,1753.9188543953162,1772.8926244563484,1794.4126828941933,1799.6563905321568
2022-09-04,1662249600,1711.13,1729.47,1691.38,1716.3,300210,7,0,1745.5591089741347,1764.8079638197273,1787.311529903812,1798.8269737109415
2022-09-11,1662854400,1718.22,1735.07,1654.06,1675.08,335063,0,0,1729.8970847576604,1751.989683274052,1777.1086635489198,1797.5956605396884
2022-09-18,1663459200,1674.33,1687.95,1639.74,1643.97,343088,7,0,1710.802177033736,1736.5582999491874,1765.005148680836,1796.0670470019802
2022-09-25,1664064000,1643.02,1675.39,1614.75,1661.06,426016,7,0,1699.7483599151278,1725.772828527875,1755.555589709851,1794.723693300468
2022-10-02,1664668800,1664.2,1729.38,1659.68,1694.36,380118,7,0,1698.5509466006552,1721.2852815953213,1749.9923542816825,1793.7250495860358
2022-10-09,1665273600,1696.18,1699.77,1640.15,1644.09,518323,7,0,1686.4485140227316,1710.257384224561,1740.3648675288023,1792.2361436200056
2022-10-16,1665878400,1646.05,1668.42,1617.22,1656.51,504980,7,0,1679.795510906569,1702.5791864781952,1732.7416977534565,1790.8856347282642
2022-10-23,1666483200,1659.82,1674.86,1637.97,1644.88,513198,7,0,1672.0365084828873,1694.336445552739,1724.7542706849604,1789.4328423429083
