time,bid,ask,last,volume,time_msc,flags,volume_real
1669662182,1745.15,1745.36,0.0,0,1669662182904,134,0.0
1669662183,1745.16,1745.39,0.0,0,1669662183054,134,0.0
1669662184,1745.16,1745.37,0.0,0,1669662184264,4,0.0
1669662185,1745.09,1745.33,0.0,0,1669662185005,134,0.0
1669662185,1744.87,1744.99,0.0,0,1669662185373,134,0.0
1669662185,1744.86,1745.07,0.0,0,1669662185476,134,0.0
1669662185,1744.83,1745.06,0.0,0,1669662185576,134,0.0
1669662186,1744.82,1745.04,0.0,0,1669662186016,134,0.0
1669662186,1744.73,1744.89,0.0,0,1669662186446,134,0.0
1669662186,1744.63,1744.86,0.0,0,1669662186585,134,0.0
1669662187,1744.63,1744.82,0.0,0,1669662187007,4,0.0
1669662187,1744.53,1744.73,0.0,0,1669662187177,134,0.0
1669662187,1744.45,1744.68,0.0,0,1669662187390,134,0.0
1669662187,1744.33,1744.55,0.0,0,1669662187526,134,0.0
1669662187,1744.37,1744.54,0.0,0,1669662187628,134,0.0
1669662187,1744.27,1744.54,0.0,0,1669662187731,130,0.0
1669662187,1744.23,1744.45,0.0,0,1669662187831,134,0.0
1669662187,1744.18,1744.43,0.0,0,1669662187972,134,0.0
1669662188,1744.11,1744.39,0.0,0,1669662188129,134,0.0
1669662188,1744.13,1744.2,0.0,0,1669662188229,134,0.0
1669662188,1743.75,1743.9,0.0,0,1669662188371,134,0.0
1669662188,1743.7,1743.9,0.0,0,1669662188457,130,0.0
1669662188,1743.77,1744.0,0.0,0,1669662188585,134,0.0
1669662188,1743.83,1744.08,0.0,0,1669662188691,134,0.0
1669662188,1743.91,1744.16,0.0,0,1669662188859,134,0.0
1669662189,1743.97,1744.21,0.0,0,1669662189333,134,0.0
1669662189,1744.02,1744.21,0.0,0,1669662189453,130,0.0
1669662189,1744.04,1744.28,0.0,0,1669662189620,134,0.0
1669662189,1744.14,1744.38,0.0,0,1669662189808,134,0.0
1669662189,1744.15,1744.38,0.0,0,1669662189914,130,0.0
